1;Lorem ipsum dolor sit amet, steht für Blindtext welcher verwendet wird um Textfelder im Design zu prüfen ohne das der Inhalt von der eigentlichen Aufgabe ablenkt?;Ja
1;Welcher Finger gehört nicht an die Hand, sondern ins Gefängnis?;Langfinger;
1;Welcher Handwerker kommt drei Wochen später als vereinbart und macht dann den Abfluss frei?;Klempner;
1;Welcher Kobold haust in der Werkstatt von Meister Eder?;Pumuckl;
1;Welcher Niederschlag gilt als Hauptursache für das Waldsterben?;saurer Regen;
1;Welcher Straßenabschnitt führt direkt auf die Autobahn?;Beschleunigungsspur;
1;Welcher Zahn zählt nicht zum menschlichen Gebiss?;Stoßzahn;
1;Welches Tier hat man bissweilen im Hals?;Frosch;
1;Welches dieser Lebewesen wird von der Holzindustrie genutzt?;Baum;
1;Welches Instrument wird auch Piano genannt?;Klavier;
1;Welches Wort bedeutet sowohl Sitzgelegenheit als auch Kreditinstitut?;Bank;
1;Wen oder was soll man nicht vor dem Abend loben?;Tag;
1;Wenn man eine brenzlige Situation bewältigt, dann holt man sprichwörtlich die Kastanien aus dem ...?;Feuer;
1;Wer bildete mit Oliver Hardy eines der erfolgreichsten Komikerduos der Welt?;Stan Laurel;
1;Wer gehörte nicht zu den Beatles?;Cliff Richard;
1;Wer haust in einem echten Loch?;Nessie;
1;Wer ist Deuteschlands Fußball-Kaiser?;Franz Beckenbauer;
1;Wer rutscht den Hang hinunter und begräbt ganze Dörfer?;Lawine;
1;Wer schoss nicht den Vogel, sondern den Apfel ab?;Wilhelm Tell;
1;Wer spinnt nach Obelix´ Meinung?;Römer;
1;Wer übt keinen handwerklichen Beruf aus?;Pfarrer;
1;Wer wurde von den eigenen Eltern im Wald ausgesetzt?;Hänsel und Gretel;
1;Wie bezeichnet man den Betrag, den man für die Beförderung eines Briefes zu entrichten hat?;Porto;
1;Wie heißt das männliche Pendant der Krankenschwester?;Krankenpfleger;
1;Wie heißt der beste Freund des dicken Galliers Obelix?;Asterix;
1;Wie heißt der ostfriesische Komiker Otto mit Nachnamen?;Waalkes;
1;Wie heißt der schläfrige,verfressene und nuschelnde Freund der Biene Maja?;Willi;
1;Wie heißt die schrecklich nette Familie?;Bundy;
1;Wie heißt die Hauptstadt der Volksrepublik China?;Peking;
1;Wie heißt die vom Axel-Springer-Verlag seit 1952 herausgegebene Tageszeitung?;Bild;
1;Wie hieß bis 1990 die Hauptstadt der Bundesrepublik Deutschland?;Bonn;
1;Wie hieß die Mutter von Jesus Christus?;Maria;
1;Wie lautet das Fremdwort für den Begriff gesetzlich?;legal;
1;Wie lautet der Vorname von Bundeskanzler Schröder?;Gerhard  ;
1;Wie nennen Muslime ihren Gott?;Allah;
1;Wie nennt man den Leiter eines Orchesters?;Dirigent;
1;Wie nennt man die Formel-1-Rennwagen von McLaren Mercedes?;Silberpfeile;
1;Wie nennt man ein junges Rind?;Kalb;
1;Wie nennt man ein tragbares Funksprechgerät?;Walkie-Talkie;
1;Wie nennt man einen Berufsreiter bei Galopprennen?;Jockey;
1;Wie nennt man einen Militärflughafen zum Einsatz und zur Unterhaltung fliegender Verbände?;Fliegerhorst;
1;Wie sind Anfänger der Redensart nach häufig?;blutig;
1;Wie viele Pfennige sind eine Mark?;hundert;
1;Wie wird das Eigelb nocht genannt?;Dotter;
1;Wie wird der Atlantik umgangssprachlich genannt?;der große Teich;
1;Wie wird der Citroen 2CV genannt?;Ente;
1;Wie wird eine gefälschte Banknote umgangsprachlich bezeichnet?;Blüte;
1;Wo entspringt ein Fluss?;Quelle;
1;Wo muss man hingehen, um Gemälde zu sehen?;Pinakothek;
1;Wo residiert der Papst?;Vatikan;
1;Womit sollte man nicht versuchen ein Feuer zu löschen?;Benzin;
1;Woran erkennt man Autos der Marke Mercedes-Benz?;Stern;
1;Woraus schuf Gott die Eva?;Adams Rippe;
1;Worin ist Milch prima zu tansportieren?;Tetra Pak;
1;Worin sitzt ein Formel-1-Fahrer?;Cockpit;
2;Die Polizei, dein Freund und ...?;Helfer;
2;Diese war der erste Streich, doch der zweite ...?;folgt sogleich;
2;Wer reitet so spät durch Nacht und ...?;Wind;
2;Auf der Alm, da gibt´s koa ...?;Sünd;
2;Die Abkürzung EDV steht für elektronische ...?;Datenverarbeitung;
2;Ein erfahrener Kämpfer ist ein alter ...?;Haudegen;
2;Ein gewandter und flinker Mensch ist ...?;behände;
2;Ein Zeppelin ist ein ...?;Luftschiff;
2;Eine verrufene Kneipe ist eine ...?;Kaschemme;
2;Für welches Getränk ist die tschechische Stadt Budweis weltberühmt?;Bier;
2;In welchem Land trifft Jonathan Swifts Held Gulliver auf daumengroße Einwohner?;Liliput;
2;In welchem Meer mündet der Rhein?;Nordsee;
2;In welcher Farbe gibt es keine Gummibärchen von der Firma Haribo?;Blau ;
2;In welcher Stadt kann man über den Ku´damm spazieren?;Berlin;
2;In welches Meer mündet der Rhein?;Nordsee;
2;Mit welchem Gefährt kann man die so genannte Eskimorolle ausführen?;Kajak;
2;Mit welchem Titel landeten die Beatles keinen Nr.-1-Hit?;Satisfaction;
2;Mit welcher Währung zahlt man in der Schweiz?;Franken;
2;Nach welchem Tier wurde eine berühmte Operette von Johann Strauß benannt?;Fledermaus;
2;Unter welchem Begriff lassen sich Regen, Hagel und Schnee zusammenfassen?;Niederschlag;
2;Unter welchem Namen ist das Küchengewürz Liebstöckel noch bekannt?;Maggiekraut;
2;Unter welchem Namen machen Diether Bohlen und Thomas Anders seichte Popmusik?;Modern Talking;
2;Unter welcher Bezeichnung wurde die Klaviersonate op.27 Nr.2 von Ludwig van Beethoven berühmt?;Mondscheinsonate;
2;Was bedeutet das net in Internet?;Netz;
2;Was bezeichnet man als Eselsohr?;geknickte Buchseite;
2;Was brachte 1997 die Mercedes A-Klasse ins Wanken?;Elchtest;
2;Was du nicht willst, das man dir tu, das füg auch keinem andern ...?;zu;
2;Was findet laut Artikel 5, Absatz 1 des deutschen Grundgesetzes nicht statt?;Zensur;
2;Was gehört nicht ins Schminktäschchen?;Rasierpinsel;
2;Was hat sprichwörtlich goldenen Boden?;Handwerk;
2;Was ist ein Bolide?;Rennwagen;
2;Was ist ein Glücksbringer?;Amulett;
2;Was ist ein Kanton?;Schweizer Bundesland;
2;Was ist ein Knacki?;Gefängnisinsasse;
2;Was ist eine Enzyklopädie?;Lexikon;
2;Was ist Harakiri?;ritueller Selbstmord;
2;Was ist Mammon?;Geld;
2;Was ist sowohl Behältnis als auch Speise?;Terrine;
2;Was macht man aus Öl, Ei, Essig und Salz?;Majonäse;
2;Was schmiert man sich in die Haare?;Pomade;
2;Was wird vor allem in Western-Filmen als blaue Bohne bezeichnet?;Bleikugel;
2;Welche Abkürzung steht für hochauflösendes Fernsehen?;HDTV;
2;Welche Ausbildungsförderung kann ein Student vom Staat erwarten?;BAföG;
2;Welche Blume blüht laut einem Heino-Schlager so blau, blau, blau?;Enzian;
2;Welche dieser Sprachen ist nicht Amtssprache der Schweiz?;spanisch;
2;Welche Fernsehshow moderierte Kurt Felix?;Verstehen Sie Spaß?;
2;Welche Musikinstrumente brachten laut Altem Testament die Mauern von Jericho zu Fall?;Posaunen;
2;Welche Operationsmethode wird bei Entbindungen häufig angewandt?;Kaiserschnitt;
2;Welchen Raum einer Klinik bezeichnet man als Kreißsaal?;Entbindungsraum;
2;Welcher dieser Begriffe steht für eine scharfe Würzsoße?;Tabasco;
2;Welcher dieser Herren ist kein Skispringer?;Stefan Effenberg;
2;Welcher dieser Staaten zählt zu den Benelux-Staaten?;Luxemburg;
2;Welcher Vogel macht sprichwörtlich noch keinen Sommer?;Schwalbe;
2;Welches der folgenden Geräte kommt in der rhythmischen Sportgymnastik nicht zum Einsatz?;Peitsche;
2;Welches der folgenden Tierchen ist kein Pokemon?;Grobi;
2;Welches dieser Länder liegt nicht in Asien?;Ghana;
2;Welches Säugetier wird bis zu 5,80 Meter hoch?;Giraffe;
2;Wen oder was soll man spichwörtlich nicht mit dem Bade ausschütten?;Das Kind;
2;Wenn man aufgefordert wird, etwas nicht allzu genau zu nehmen, dann soll man fünfe ...?;gerade sein lassen;
2;Wer bestieg am 27.November 1975 den spanischen Thron?;Juan Carlos I;
2;Wer brachte Abel um?;Kain;
2;Wer gehörte nicht zu den Spice Girls?;Old Spice;
2;Wer kann hinter Gittern olympische Medaillen gewinnen?;Hammerwerfer;
2;Wer machte sich einen Namen als Waffenkonstrukteur?;Kalaschnikow;
2;Wer schießt schneller als sein Schatten?;Lucky Luke;
2;Wer schrieb das 1782 uraufgeführte deutsche Singspiel Die Entführung aus dem Serail?;Mozart;
2;Wer unterwirft sich einer strengen, enthaltsamen Lebensführung?;Asket;
2;Wer vollstreckt Todesurteile?;Henker;
2;Wie bezeichnet man Bergabau an der Erdoberfläche?;Tagebau;
2;Wie heißt das Paradies im Alten Testament?;Eden;
2;Wie heißt das seit 1997 produzierte Nachfolgemodell des Volkswagen Käfers?;New Beetle;
2;Wie heißt das unkontrollierbare Rutschen eines Autoa auf regennasser Fahrbahn?;Aquaplaning;
2;Wie heißt der Drachentöter aus dem Niebelungenlied?;Siegfried;
2;Wie heißt der Hund von Obelix?;Idefix;
2;Wie heißt die Industrieregion zwischen Duisburg und Dortmund?;Ruhrgebiet;
2;Wie heißt es im Volkslied: Es klappert die Mühle am ...?;Rauschenden Bach;
2;Wie heißt Hitchcocks tierischer Schocker aus dem Jahre 1963?;Die Vögel;
2;Wie lautet das englische Wort für bitte?;Pleace;
2;Wie lautet ein umgangssprachliches Wort für Verwandtschaft?;Sippschaft;
2;Wie nennt der Jäger das Fleisch des geschossenen Wildes?;Wildbret;
2;Wie nennt man Computerexperten, die sich unerlaubten Zugang zu fremden Rechnern verschaffen?;Hacker;
2;Wie nennt man die erste Reise eines Schiffes nach der Werftabnahme?;Jungfernfahrt;
2;Wie nennt man die sechseckigen Zellen in Bienenstöcken?;Waben;
2;Wie nennt man eine eingezäunte Weide?;Koppel;
2;Wie nennt man einen überdachten, an drei Seiten verglasten Vorbau eines Wohnhauses?;Veranda;
2;Wie nennt man einen unterschriebenen Scheck, in dem kein Betrag eingesetzt ist?;Blankoscheck;
2;Wie nennt man im Film die stummen Nebendarsteller?;Komparsen;
2;Wie nennt man im Fußball das spielentscheidende erste Tor in einer Verlängerung?;Golden Goal;
2;Wie werden Raumfahrer in Russland genannt?;Kosmonauten;
2;Wie wird Heidis Großvater in Johanna Spyris Erzählung genannt?;Alm-Öhi;
2;Wo befindet sich bei einem Wagen mit Gangschaltung normalerweise das Gaspedal?;Ganz rechts;
2;Wo leben die Usbeken?;Usbekistan;
2;Wo werden Schiffe ausgebessert?;Dock;
2;Wofür steht in der Mathematik ein durch einen Schrägstrich geteilter Kreis?;Durchmesser;
2;Wohinter steckt ein bekanntes deutschsprachiges Lexikon?;Brockhaus;
2;Woran leidet die Volkswirtschaft, wenn das Geld nichts mehr wert ist und die Preise steigen?;Inflation;
2;Worin speichert ein Bauer Getreide?;Silo;
2;Zu wem geht man, wenn man eine Brille braucht?;Optiker;
3;An welchem Tag geschieht sprichwörtlich etwas, wenn es in Wahrheit nie geschieht?;St.-Nimmerleins-Tag;
3;Auf welchen Schiffen mussten Sklaven und Sträflinge einst ihren Dienst verrichten?;Galeeren;
3;Auf welcher Zahl beruht das Dezimalsystem?;10;
3;Die oberste Dachkante nennt man ...?;First;
3;Ein anderes Wort für Wutanfall ist ...?;Koller;
3;Ein Egozentriker stellt sich selbst ...?;in den Mittelpunkt;
3;Eine einseitig positive oder negative Darstellung eines Sachverhaltes ist ...?;Schwarzweißmalerei;
3;Eine geistige Bewegung im Deutschland des 18.Jahrhunderts hieß Sturm und ...?;Drang;
3;Eine größere Inselgruppe nennt man auch ...?;Archipel;
3;Einer der größten Hits von Udo Jürgens heißt Siebzehn Jahr, ...?;blondes Haar;
3;In dem Teig einer echten italienischen Pizza gehören Weizenmehl, Wasser und ...?;Hefe;
3;In welche Stadt wollte Vicky Leandros mit einem gewissen Theo fahren?;Lodz;
3;In welchem französischen Teenager-Streifen debütierte Sophie Marceau 1980?;La Boum;
3;In welchem Land liegt die Region Apulien?;Italien;
3;In welchem US-Bundesstaat liegt Los Angeles?;Kalifornien;
3;In welchem Verwandschaftsverhältnis steht Donald Duck zu Tick, Trick und Track?;Onkel;
3;In welchen fiktiven Turm zieht sich jemand zurück, der sich von dieser Welt absondern will?;Elfenbeinturm;
3;Liselotte Pulver bekam es mit den Räubern zu tun in dem Film Das Wirtshaus ...?;im Spessart;
3;Mit welchem dieser Begriffe bezeichnet man ein luxuriöses, müßiggängerisches Leben;Dolce Vita;
3;Mit welchem Treibstoff werden die meisten Düsenflugzeuge angetrieben?;Kerosin;
3;Nach welcher englischen Devise handeln Heimwerker?;do it yourself;
3;Shakespeares Dramen-Held Hamlet ist Prinz von?;Dänemark;
3;Unter welchem dieser Begriffe kennt man einen Nachtisch aus gekochtem Obst?;Kompott;
3;Unter welchem Namen ist der Dachshund besser bekannt?;Dackel;
3;Unter welchem Namen wurde die Oscar-Preisträgerin Cherlyn Sarkisian La Pierre berühmt?;Cher;
3;Unter welchem Pseudonym wird Donald Duck zum Superhelden im Kampf gegen das Verbrechen?;Phantomias;
3;Von wem stammt die grammatikalisch unkorrekte Feststellung Marmor, Stein und Eisen bricht?;Drafi Deutscher;
3;Was findet man nicht im menschlichen Körper?;Achtzehendarm;
3;Was für ein Tier ist ein Eichhörnchen?;Nagetier;
3;Was für ein Werkzeug ist ein Engländer?;Schraubenschlüssel;
3;Was hat der Druide Miraculix immer dabei?;Sichel;
3;Was ist ein Karabiner?;Kurzläufiges Gewehr;
3;Was ist ein Pfifferling?;Pilz;
3;Was ist ein Sweater?;Pullover;
3;Was ist eine Schillerlocke?;geräucherter Fisch;
3;Was muß ein Schuldner anmelden, wenn er zahlungsunfähig ist?;Konkurs;
3;Was stellte Mitte des 19. Jahrhunderts eine große Gefahr für den europäischen Weinbau dar?;Reblaus;
3;Was war im kalten Zustand eine Bedrohung für die gesamte Menschheit?;Krieg;
3;Was wiegt höchstens 450 Gramm und hat einen Umfang von maximal 70 Zentimeter?;Fußball;
3;Was wird jedes Jahr am zweiten Sonntag im Mai gefeiert?;Muttertag;
3;Was wird mit einem Geigerzähler gemessen?;Radioaktivität;
3;Was wirkt, als Tee verabreicht, schweißtreibend und fiebersenkend?;Lindenblüten;
3;Was zog man sich früher als Schutz über die Schuhe?;Galoschen;
3;Welche Delikatesse bekommt man, wenn man foie gras bestellt?;Leberpastete;
3;Welche dieser frommen Damen ernährt sich hauptsächlich von Insekten?;Gottesanbeterin;
3;Welche Insel an der Südspitze Südamerikas ist durch die Magellanstraße vom Festland getrennt?;Feuerland;
3;Welche Sportler treten zum Giro d´Italia an?;Radsportler;
3;Welche Stadt wurde von 1948 bis 1949 über eine Luftbrücke mit Lebensmitteln versorgt?;Berlin;
3;Welchen berühmten Chor gründete Serge Jaroff 1921 in einem türkischen Internierungslager?;Donkosaken;
3;Welcher Vogel wird von verschuldeten Menschen besonders gefürchtet?;Kuckuck;
3;Welcher dieser Vulkane liegt auf Sizilien?;Ätna;
3;Welcher Fluss ist nach dem Rhein der längste und verkehrsreichste Deutschlands?;Elbe;
3;Welcher kleine Junge erlebte eine wunderbare Reise mit Wildgänsen?;Nils Holgerson;
3;Welcher österreichische Zoologe wurde durch seine Tauchgänge mit Haien weltberühmt?;Hans Hass;
3;Welcher Wert gibt den Luftwiderstand von Autos an?;cw-Wert;
3;Welches Bundesland hat die Farben Weiß und Blau in seiner Flagge?;Bayern;
3;Welches Bundesland umgibt die Stadt Berlin?;Brandenburg;
3;Welches dieser Tiere ist kein Spinnentier?;Birkenspanner;
3;Welches dieser Werke schrieb Karl Marx?;Das Kapital;
3;Welches Gebäude war bis 1970 das höchste der Erde?;Empire State Building;
3;Welches Land gehört nicht zu den baltischen Staaten?;Finnland;
3;Welches Muster hat das Fell junger Wildschweine?;gestreift;
3;Welches Rechtsmittel kann man gegen ein Gerichtsurteil einlegen?;Revision;
3;Wer erblickte am 1.Dezember 1935 als Allen Stewart Konigsberg das Licht der Welt?;Woody Allen;
3;Wer ließ zwei Schwestern für ihre Dienste mit Gold bzw. Pech  überschütten?;Frau Holle;
3;Wer schrieb Berlin Alexanderplatz?;Alfred Döblin;
3;Wer spielt den Privatdetektiv Thomas Magnum?;Tom Selleck;
3;Wer war Geigenbauer von Beruf?;Antonio Stradivari;
3;Wie bezeichnet man die Aufteilung eines Arbeitsplatzes unter mehreren Personen?;Jobsharing;
3;Wie bezeichnet man die Belgier mit französischer Muttersprache?;Wallonen;
3;Wie bezeichnet man die nachrichtenarme Zeit während der großen Schulferien? ;Sommerloch;
3;Wie heißen die beiden kürzeren Seiten eines rechtwinkligen Dreickecks?;Katheten;
3;Wie heißt das größte lebende Landraubtier?;Kodiakbär;
3;Wie heißt die amerikanische Variante des Kartenspiels Siebzehnundvier?;Black Jack;
3;Wie heißt die große, schleimige, krötenähnliche Kreatur aus den Star Wars-Filmen?;Jabba the Hut;
3;Wie heißt die Hauptstadt Bulgariens?;Sofia;
3;Wie heißt die kernlose, besonders süße Variante der Mandarine?;Klementine;
3;Wie hieß die Begleitband von Udo Lindenberg?;Panikorchester;
3;Wie lautet der russische Begriff für Umbau, der in den späten 80er Jahren sehr geläufig war?;Perestroika;
3;Wie lautet der traditionelle Gruß der Bergleute im Ruhrgebiet?;Glück auf;
3;Wie nannten die Ägypter ihren Sonnengott?;Re;
3;Wie nennen die Mediziner die Vorsteherdrüse?;Prostata;
3;Wie nennt man den Generator, der ein Kraftfahrzeug mit elektrischen Energie versorgt?;Lichtmaschine;
3;Wie nennt man den karrierten Faltenrock der Schotten?;Kilt;
3;Wie nennt man den wohltönenden Zusammenklang mehrere Töne?;Harmonie;
3;Wie nennt man die Einstimmung des Studiopublikums vor Beginn einer Fernsehsendung?;Warm-up;
3;Wie nennt man die Verknüpfung auf einer Webseite, die auf eine andere Seite verweist?;Link;
3;Wie nennt man ein hohes Trinkglas mit tiefem Kelch?;Flöte;
3;Wie nennt man ein mit Wasserfarben gemaltes Bild?;Aquarell;
3;Wie nennt man eine röhrenförmige Pelzhülle, in der man seine Hände wärmen kann?;Muff;
3;Wie nennt man eine sprunghafte Veränderung der Erbsubstanz?;Mutation;
3;Wie nennt man einen Autor, der ungenannt für eine andere Person schreibt?;Ghostwriter;
3;Wie nennt man Menschen, die für ihren Glauben oder ihre Überzeugung gestorben sind?;Märtyrer;
3;Wie nennt man Nationalspieler, die bei ausländischen Vereinen unter Vertrag stehen?;Legionäre;
3;Wie viele Wählerstimmen braucht eine Partei mindestens, um in den deutschen Bundestag einzuziehen?;fünf Prozent;
3;Wie wird die These bezeichnet, nach der alles schief geht, was schief gehen kann?;Murphys Gesetz;
3;Wohin muss man reisen, wenn man zur Costa Blanca will?;Spanien;
3;Worin äußert sich ein leitender Redakteur zum Zeitgeschehen?;Leitartikel;
4;Bei welcher offiziell nicht erlaubten Skat-Spielart verliert der Spieler mit den meisten Punkten?;Ramsch;
4;Der Mond ist ein ...?;Trabant;
4;Ein anderes Wort für Würfel lautet ...?;Kubus;
4;Ein Goethe-Gedicht beginnt: Über allen Gipfeln ...?;ist Ruh;
4;Eine schmale Treppe ist eine ...?;Stiege;
4;Eine Wohnung im Kellergeschoss befindet sich ...?;im Souterrain;
4;Für wen wurde die Brailleschrift entwickelt?;Blinde;
4;Heißluftballone werden nicht geflogen, sondern ...?;Gefahren;
4;Hollywood ist ein Stadtteil von ...?;Los Angeles;
4;In welchem Land erblickte Howard Carpendale das Licht der Welt?;Südafrika;
4;Paris liegt an der ...?;Seine;
4;Von welcher Band stammt die Glasnost-Hymne Wind of Change?;Scorpions;
4;Was darf in einer Maibowle nicht fehlen?;Waldmeister;
4;Was drückt eine Fahne auf Halbmast aus?;Trauer;
4;Was entsteht bei Erwärmung des Bodens und der darüber liegenden Luftschichten?;Thermik;
4;Was ist schwarzer Peter?;Kartenspiel;
4;Was ist ein Bergfried?;Hauptturm einer Burg;
4;Was ist ein Gobelin?;Wandteppich;
4;Was ist ein Katamaran?;Wasserfahrzeug;
4;Was ist ein Luftikus?;Leichtsinnige Person;
4;Was ist ein Stilett?;Dolch;
4;Was ist Glucose?;Traubenzucker;
4;Was ist kein fossiler Energielieferant?;Sonne;
4;Was landet im Kochtopf, wenn von einem Bouquet garni die Rede ist?;Kräuter;
4;Was sind Mokassins?;Schuhe der Indianer;
4;Was sollte man in einer schwierigen Situation bewahren?;Contenance;
4;Was steht im so genannten heliozentrischen System im Mittelpunkt?;Sonne;
4;Was verbirgt sich hinter dem chemischen Symbol Al?;Aluminium;
4;Was war die Aufgabe eines Barden im Mittelalter?;singen und dichten;
4;Was wird zur Herstellung von Glühfäden für Glühlampen verwendet?;Wolfram;
4;Welche Automarke produziert die legendäre Corvette?;Chevrolet;
4;Welche der folgenden deutschen Städte liegt nicht am Meer?;Friedrichshafen;
4;Welche der folgenden Sprachen spricht niemand als Muttersprache?;Esperanto;
4;Welche deutsche Comic-Zeitschrift erfreute ihre Leser in jeder Ausgabe mit einem Gimmick?;Yps;
4;Welche dieser Damen war so hässlich, dass ihr Anblick Menschen zu Stein erstarren ließ?;Medusa;
4;Welche Farbe hatte das Spielmobil, das einer TV-Kindersendung der 70er Jahre ihren Namen gab?;feuerrot;
4;Welche Krebse schützen ihren weiche Hinterkörper indem sie leere Schneckenhäuser besiedeln?;Einsiedlerkrebse;
4;Welche menschliche Reaktion drückt Verlegenheit, Schüchternheit und Scham aus?;errötende Wangen;
4;Welche Musik macht  Claudia Jung?;Deutscher Schlager;
4;Welche Nummer bezeichnet kein Duftwässerchen?;08/15;
4;Welche Pflanzengattung heißt mit botanischem Ausdruck Cannabis?;Hanf;
4;Welchen Beruf erlernte Stefan Raab?;Metzger;
4;Welchen Wert besitzt die Zahl Pi?;ca. 3,14;
4;Welcher dieser Schauspieler gehörte nicht zur Klimbim-TV-Familie?;Götz George;
4;Welcher dieser Vögel kann fliegen?;Storch;
4;Welcher Holländer sang den Schlager Wann wird´s mal wieder richtig Sommer?;Rudi Carrell;
4;Welcher Rex-Gildo-Schlager beginnt mit der legendären Zeile Hossa, Hossa, Hossa, Hossa?;Fiesta Mexicana;
4;Welcher Stern steht fast genau über dem Nordpol?;Polarstern;
4;Welcher Verlag gibt die Bild-Zeitung heraus?;Springer;
4;Welches berühmte Trickfilmzeichner-Duo erfand Tom und Jerry und die Familie Feuerstein?;Hanna & Barbera;
4;Welches Delikt begeht ein Hijacker?;Flugzeugentführung;
4;Welches der folgenden Verben bezeichnet man als Hilfsverb?;haben;
4;Welches Gerät sorgt für die Einhaltung einer vorgegebenen Temperatur?;Thermostat;
4;Welches Land war das eigentliche Ziel der ersten Atlantik-Überquerung von Christoph Columbus?;Indien;
4;Welches Tier trägt den lateinischen Namen Canis lupus?;Wolf ;
4;Wen benötigt ein Duellant als Beistand und Zeugen?;Sekundant;
4;Wen besiegte die deutsche Fußballnationalmannschaft im ersten Spiel nach der EM 2000 mit 4:1?;Spanien;
4;Wer im Restaurant eine Paella bestellt, bekommt?;Reisgericht;
4;Wer spielte im gleichnamigen Film den debilen Glückspilz Forrest Gump?;Tom Hanks;
4;Wer spielte von 1975 bis 1980 die Hauptrolle in der Slapstick-Serie Nonstop Nonsens?;Dieter Hallervorden;
4;Wer tritt nur selten ohne seine Orthopädischen Strümpfe auf?;Guildo Horn;
4;Wie bezeichnet man den jährlichen Gefiederwechsel der Vögel?;Mauser;
4;Wie bezeichnet man die reiche Auszierung einer Gesangsmelodie mit umspielenden Tönen?;Koloratur;
4;Wie heißen alle Mitglieder der Bee Gees mit Nachnamen?;Gibb;
4;Wie heißt der kleinste der sieben Hügel Roms?;Kapitol;
4;Wie heißt die Anemone noch?;Buschwindröschen;
4;Wie heißt die größte Insel der Erde?;Grönland;
4;Wie heißt die Hauptstadt von Nordirland?;Belfast;
4;Wie heißt die islamische Burg im spanischen Granada?;Alhambra;
4;Wie heißt die Meerenge, die den asiatischen Teil der Türkei von europäischen trennt?;Bosporus;
4;Wie heißt die Symbolfigur der Comic-Zeitschrift MAD?;Alfred E. Neumann;
4;Wie hieß der berühmte Picasso mit Vornamen?;Pablo;
4;Wie lange muss Scheherazade Märchen erzählen?;1001 Nacht;
4;Wie lautet das deutsche Wort für Parasit?;Schmarotzer;
4;Wie lautet der Fachbegriff für Zahnfäule?;Karies;
4;Wie lautet die volkstümliche Bezeichnung für eine Reihe von reich blühenden Zierpflanzen?;Fleißiges Lieschen;
4;Wie lebt jemand, der mit mehreren Frauen verheiratet ist?;polygam;
4;Wie nennt man das lange Gewand katholischer Geistlicher?;Soutane;
4;Wie nennt man den Bruder der Schwägerin?;Schwofschwager;
